"tweet","sentiments","labels"
"@JPelirrojo me encantan los VAPES gracias por estar ahí todos los días y alegrarnos",\N,-1
"@yddeon la Universidad es fácil porque estudias lo que te gusta JAJAJAJAJAJAJAJAJAJAJAJA ES TODO MENTIRA",\N,-1
"@_cuteresa Son dos frases. La una complementa a la otra. Así se entiende mejor",\N,-1
"@ratgull @Vespacityman @Kellydeharo @ELpuebloMALDITO Al final ha sucumbido el maldito a nuestra dura mano",\N,-1
"@ImFebrer @MalagaCF Ninguno de los clubes lo hizo oficial pero se dice que sí",\N,-1
"@zKnowcks7 la culpa es de la gente que juega segunda no te engañes a ti mismo",\N,-1
"@Goonzas_ No voy ni a Vigo voy ir a Madrid? Jajajaja que vivo en Coruña tonto",\N,-1
"¿Soy la única que no está viendo el partido? Aunque me gustaría, la verdad",\N,-1
"@marcasgz te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",\N,-1
"Acabo de descubrir a Filip van der Cruyssen y sus increibles #fotografia de #retratos ...yo quiero https://t.co/2T0S6DGxnm",\N,-1
"@alienmarica intenté eso el año pasado y mi móvil se hizo el loco con la alarma",\N,-1
"@boteroBET @naitah77 hoy tocaba ir al del oeste, por cambiar. Sí, el cambio es a mejor",\N,-1
"@babi_dark_ si ya las hago, pero promocionarse es complicadillo  tengo pensado hacer un sorteo en poco",\N,-1
"por qué dices eso? Yo soy otaku y no hablo casi de aniJAJAJAJA era broma sis",\N,-1
"Verano completito... Fuengirola, Peñiscola, Valle del Jerte, fiestas Sepul y próximamente --- fiestas Olmillo!",\N,-1
"Es bastante patético, sobre todo que lo haga gente que prácticamente no me conoce de nada",\N,-1
"@varitoponchito  es que las preguntas capciosas no están bien! Resultan muy periodísticas y poco consideradas",\N,-1
"@RoussiRT jajajajjjaajjjjajajaa eso no lo haces con mi culo  y es de gran valor.",\N,-1
"@BenielAnaisabel Y además con unas vistas preciosas... Disfruta de la tarde como se merece",\N,-1
"Hoy directillo de FIFA señores! Un poquito de Liverpool que queda menos para terminar",\N,-1
"@batyol @valenciaplaza Gracias por seguirme. Todas las semanas escribo en @culturplaza, cada míercoles para más señas.",\N,-1
"@vmc1385 Muchas gracias atrasadas!! Esto del Twitter hacia que no lo miraba.... Un abrazoteee!!",\N,-1
"@julioinsadji Estás muy calladito por aquí julio... q n puedo poner la radio",\N,-1
"@HuGo17__ @BayonTHE1 Vamos con PAM que preferimos entrenar vs DDH, teneis muy buen lvl bro",\N,-1
"Que guay, el coca cola music de este año es de Meghan Trainor! Ojalá ser rico",\N,-1
"@anniebooksx tiene que ser entretenido  tu seras la primera en verlo amore mio",\N,-1
"@turu_brujo Mareo y el Molinón siguen en su sitio, todo os parece mal",\N,-1
"@Jorge_Ruiz14 lo cierto es q estoy en el sofa viendo como se enamoran en first dates",\N,-1
"@Mereeia llévame contigo por fi, que yo también monto y casi siempre sola",\N,-1
"Estupendo discurso de @joanbaldovi en  #SesionDeInvestidura Ché, la ciudadanía ha tenido voz",\N,-1
"@miguela38331844 Que bonito,y yo tengo una sorpresa para Ti ,que te gustara muchísimo!",\N,-1
"La gente se descojona de mi cuando me indigno y no se lo toman en serio",\N,-1
"@helen_acks Pos sí que eras tú limitada en encontrar formas de no aburrirse en clase",\N,-1
"@dexamina Yo he citado varias veces a Heidegger en tuíter y me meto contigo",\N,-1
"@perriestheory NO PONGAS COSAS PRIVADAS nah es que me ha molestado en serio",\N,-1
"@dei_biz Al contrario, me viene genial la corrección para ir mejorando mi inglés",\N,-1
"@marionaral @mjdelrio @AcevAsociacion gracias Si lo malo de la verdad es que no necesariamente nos hace felices.",\N,-1
"Menciono a Sofía en cosas bonitas y ella me lo paga bloqueandome por wa",\N,-1
"Alguna buena moza que me diga a qué hora y qué días echan Teen Wolf",\N,-1
"@sanchezdelreal Sí, es que ya tengo instalada la beta. De momento sólo funcionan en iMessage",\N,-1
"AY MI MADRE GRIEZMANN 88 en FIFA 17 Toca ahorrar desde ya para hacerme con él",\N,-1
"Esto es tan surrealista Pues nada, la cuenta de twitter de PewDiePie a la puta",\N,-1
"@luciaanagil illo que ya me han enviado 5 personas diferentes snpachats con palomitas",\N,-1
"Quiero ir a la festa major de Llinars la semana que viene que es mi pueblesito",\N,-1
"Creo k es la primera vez k estoy deseando k llegue septiembre de una vez",\N,-1
"@gur_pegui @pazborisb @YeOldeNemesis además habrá nueva Estrella de la Muerte. Saldrá por unos 500 euros",\N,-1
"@albeferrando @DGTes Hola Alberto. Tengo la misma problema, he perdido unas horas  ¿Lo has obtenido? #dgtes",\N,-1
"@Orion_Pirata abcesos de pus en la espalda, pero coge el alta el día 8.",\N,-1
"@Garabatos ya estás aquí? Esta semana lo tengo complicado pero a la otra vamos",\N,-1
"@audreymolgar ay si, pero no puedo cambiar el username y soy un numero raro  aiuda",\N,-1
"Me instalado la app de @Los40_Spain solo para escuchar @Los40Trending de @ajpaniagua  #algoestacambiando",\N,-1
"@PitDiamondcore  Que cabrones..... puffff  .... Bueno se empieza de nuevo no pasa nada jejej",\N,-1
"@AlvaroAuryn en noja estuviste genial pero ¿sabes una cosa? Nos vemos en madrid para despedirnos  #askalvarogango",\N,-1
"3 años siguiéndote y ni una mención, con lo que te quiero  @AlvaroAuryn  #askalvarogango",\N,-1
"Me haces bullying intenso, me vas a hacer caso algún día?  @AlvaroAuryn  #askalvarogango",\N,-1
"@LuciaDollface Ya ves, parece un comic más maduro pero el dibujo se delata solo",\N,-1
"@UnAustracista @CarlesRH Metáfora=Comparación, que es lo que dije. Un poquito de teoría literaria",\N,-1
"@cantagalli Pasa el link de la mas interesante please, por no ver 5 veces lo mismo",\N,-1
"Os recomendamos seguir las listas porque Spotify no nos permite tenerlas públicas y colaborativas al mismo tiempo",\N,-1
"@Paco_Pinero Pero ya te digo que me encantaría tener esta conversación contigo en otras circunstancias",\N,-1
"#InvestiduraRajoy13tv mi madre¡¡¡ @JoanTarda ya regreso, del viaje astral???¡¡  y el del @eajpnv del interestelar??¡¡",\N,-1
"@paulakuyen -tu pelo -eres una de mis mejores amigas -no mereces estar mal por nadie -compañera pastel!",\N,-1
"@darthmagnus85 @Will_1981 @En_Marea @mahou_es es tan evidente verdad? que no hacía falta... es cierto.",\N,-1
"@JVSantacreu  Gran experta Rosa en freir huevos, parecen gemelos. (a mí no me salen tan iguales)",\N,-1
"Buenos días, @eslosiguiente . Lo siguiente de triste es abatido. Ánimo que siempre que llueve escampa.",\N,-1
"Han llegado las primeras #granadas   La primera ensalada con tintes otoñales cae hoy! #eco… https://t.co/DICRGhwe5X",\N,-1
"@julwiki no sabía que la remasterizada se parecía a la primera temporada de Falcon Crest",\N,-1
"@NovatilloTotal ahora escribo las cartas. Seprona no, qué por suerte me han cuidado Pepito muy bien",\N,-1
"@anniebooksx pues quiero verla pero quiero leerme el libro primero  lo tengo pendiente",\N,-1
"@RanLuna13 la Odisea es uno de mis libros favoritos, y de Shakespeare por ejemplo me encanta Hamlet",\N,-1
"@HausofMai @julenfenty ha sido genial conocerte maite te quiero mucho en serio una monada de chica",\N,-1
"@Candiecita tanto tiempo siguiéndote y leyendo las cosas bonitas q ponías y ahora ya no me dejas?",\N,-1
"@EspeculacionCP Échate años y muchas horas aprendiendo y practicando  podría ser un buen título.",\N,-1
"@LionQueenOfJah No, somos egoístas por distintas circunstancias e intereses. Solos estamos todos socia, es cosa de hacerse",\N,-1
"venga ya hombre jope tias yo quiero cosas intensas no me hagais estas preguntas",\N,-1
"@manozom @carisimolider No  Justamente el hilo empezó porque yo sostengo que Mason es un pésimo HH.",\N,-1
"@BetisFans7 @AntonioViola1 Yo solo por llamar a tu equipo ""EL GRANDE DE SEVILLA"" te bloqueaba Jojojojo",\N,-1
"joder pobres hombres están oprimidos por mujeres que les obligan a afeitarse #justice4hombres https://t.co/C09iDQQr39",\N,-1
"@HijodeBilharzio Tengo la curiosa fortuna de que en estas semanas solo puede ver las etapas del finde",\N,-1
"Si Peter Iglesias le hubiese hecho caso a su segundo ya estaría el gobierno solucionado hace mucho",\N,-1
"@passion4english Gracias por la info  Lo bueno sería saber si aceptan libros en inglés.",\N,-1
"@marmana6 mi anterior tweet solo iba por ti que eres la única que ha demostrado conocerme bien",\N,-1
"@jm_allue @PuntoDeVictoria @xavigarriga @PirrakasIPL lo importante es saber cuando! Por si hay que evitar compras foráneas",\N,-1
"@IchDavos Esta bastante guay porque es muy flexible en cuanto a horarios y tecnica que quieras explorar",\N,-1
"Ensalada de Salmón, una de las ricas propuestas en el menú de hoy #MenuDiario #RestauranteCasinoLasPalmas https://t.co/tdhagu3Hgf",\N,-1
"@shielledfox Jope Ojalá algún día poder hacerte fotos  osea no soy fotógrafo ni nada pero eso",\N,-1
"@AlexBellamyLeto cuando queráis os llevamos a un gran lugar para comerlos, a buen precio",\N,-1
"Las Palmas nuevo y modesto líder de 1ª división empieza por ""L"" como Leicester...  #ahílodejo",\N,-1
"@HurricaneOfFire Estoy recuperándome del vídeo y el momento ""(bird shit)"" Parece una parodia de sí mismo",\N,-1
"Necesito seguir a mas cuentas camren shippers y fans de las armonías. Me recomendais alguna?",\N,-1
"@ManuelaCarmena necesitamos fuentes con pitorro en Vallecas, que la mayoría están rotas  @MADRID",\N,-1
"@Tyucan1 lo mismo puedo decir de tu fanart  y por cierto, tu cómic, muy divertido!",\N,-1
"@RSD_Spain menudo honor!! Me pilláis justo de vacaciones, pero a la vuelta hablamos",\N,-1
"@jramonfernandez @DianaMarqus1 vamos, que hay normas absurdas y muchas se están levantando, pero hay que estratificar",\N,-1
"6 momentos en los que usar lentes de contacto es simplemente mejor  ¡Feliz lunes! https://t.co/x06G1nkaH1 #optometria #lentesdecontacto",\N,-1
"@umaprepon @beyondhell_ @ohwowfuckyou_ No os habéis dado cuenta de que la puesto El verdaderx fotógrafx...EL solo puede ir con masculino",\N,-1
"@ceemeese ya era hora de volver al csgo y dejares el padel bienvenida",\N,-1
"@mireiaescribano justo cuando se terminan las fiestas de verano, me viene genial",\N,-1
"@Vic_Phantomhive Si lo encuentro, sin compañeros y barato, me iría hasta ahora mismo",\N,-1
"@MentalistGirl @PamplingNews lo sé, lo sé...la sigo desde hace tiempo Jajajaja es de mis favoritas",\N,-1
"@kaveri_miguel yo estoy igual, he dormido nada o menos... Y en una hora en marcha a currar",\N,-1
"@Caspitoo el día que te vi en persona estuviste híper soso conmigo... ¡nunca lo olvidaré!",\N,-1
"@zambricanto @ConsueCaballer me he quedado sorprendida!  Me encantan! Y me alegro de lo de Blas",\N,-1
"@Defconplay de hecho lo confirmo, los caminos y las casitas son las mismas",\N,-1
"La radio de cercanía, la radio más cercana a la realidad en @HablarporHablar con esta llamada",\N,-1
"Yo a las 5 a No puedo dormir *se pone a ver Peppa Pig*esto es peor",\N,-1
"Buenos dias, vamos a hacer algunos recados y a empezar el dia con energia!!",\N,-1
